id,ticket
t01,My card was charged twice for the same order
t02,How do I change the email on my account?
t03,The app crashes when I open settings
t04,I want a refund for my last invoice
t05,I forgot my password and the reset link never arrives
t06,Why did my subscription price go up this month?
t07,The export button gives me a 500 error
t08,Can I move my account to my new company email?
t09,You billed me after I cancelled
t10,Sync stopped working between my phone and laptop
t11,I need an invoice with my VAT number on it
t12,Two-factor codes are not being accepted
